P19474 Q96GD0 0
Q7L2Z9 Q16552 0
Q9BRZ2 Q86VG3 0
Q8TCC3 Q9BYN8 1
Q5VU69 P42575 0
Q8TDR0 Q13114 1
Q14469 Q8IXI2 0
Q9HAU8 Q7Z614 0
Q9NVS9 Q9BZI1 0
Q9UGM6 Q14566 0
Q9UER7 P16220 1
O75995 O43187 0
Q6UVJ0 P31949 0
P13674 Q9UFB7 0
Q96F10 Q9ULA0 0
Q9UGP5 Q96S90 0
Q96QS6 Q96IF1 0
Q14653 P20396 0
Q9UHD2 P46782 1
Q9NRX6 Q9Y3D0 0
Q8WV28 Q9NVU7 0
Q9NVA2 Q9BRT9 0
Q15742 P62993 0
Q96L33 Q5H9J9 0
P15408 O60682 0
P49959 Q96RI1 0
Q9BRJ9 Q9Y651 0
P23610 O94810 0
Q9UIG4 O60896 0
P61018 Q9UM00 0
P85298 Q494R4 0
P14061 P0DTE5 1
Q9H9Z2 Q8IV38 0
Q14532 P23258 0
Q5T2T1 O75674 0
O15400 Q8N392 0
P98198 Q8WWK9 0
Q9BUA6 Q8N6H7 0
P31275 Q8TF08 0
Q96QR8 P55851 0
Q96BR9 Q8TAA3 0
Q16772 O75346 0
P01567 P01563 0
P62277 A1XBS5 0
P57105 Q9NQI0 0
Q8N6M9 Q2M2Z5 0
Q7Z628 O43739 0
Q5JTZ5 Q9UEU0 0
Q8IUZ5 Q06546 0
P15153 P62993 1
O75949 P49207 0
P20020 Q9NQ76 0
Q99550 Q969S3 0
P37058 Q9ULV8 0
P56178 O95352 0
Q9H9B1 Q96Q77 0
Q8IV53 Q9H2F9 0
P55265 Q13635 0
P19793 P24863 1
P82094 Q9UBF2 0
Q6IQ22 O95628 0
Q01954 Q8IXJ6 0
P10746 Q16637 0
Q96PD4 Q9NRQ5 0
Q7RTS3 Q8NHW6 0
P48730 A4D2H0 0
P23771 A6NHJ4 0
Q13185 Q14240 0
Q8TAT2 Q96M98 0
Q8NI22 Q96CV9 0
Q99816 Q9UK41 1
Q86Y82 Q9H1Q7 0
Q9BRV8 P52951 0
P56277 Q96T75 0
P48723 Q9H853 0
P83436 P17066 0
O75995 A6NFE2 0
Q9Y619 P62195 0
Q96H86 Q9UQB8 0
Q9P2J3 Q16342 0
Q14684 P56537 1
Q8N5C1 Q5JX71 0
P19526 Q8N2W9 0
O15173 Q9H4B8 0
Q9H497 Q8IYB8 0
Q8IUE6 Q5BKU9 0
Q9UH03 Q16825 0
Q96M29 Q9NVG8 0
P14415 O95243 0
P35900 Q9H871 0
P14652 O94830 0
A6NK06 P07947 0
Q96N76 Q9NUK0 0
Q9BQ69 P61981 0
O60291 A6NCS4 0
Q6NUJ5 P0CW23 0
Q6NUI1 Q9H0K6 0
P19784 O00762 0
Q5TGS1 Q9H788 0
O00754 Q4VC05 0
Q9NRX2 Q969S9 1
P0C5Z0 Q9Y587 0
Q13190 A0PG75 0
A0AUZ9 O94880 0
Q9H7Z7 Q5SZD4 0
O43257 Q8N8V8 0
Q15050 O95478 1
A6NDB9 O14907 0
Q92800 Q96SU4 0
P46781 Q9UHB9 1
P53667 P37287 0
Q15464 Q8IZP1 0
Q96CN9 O43493 1
P10075 O94921 0
Q86X27 Q9H6R0 0
O14653 Q9Y2V7 1
O14653 Q8N4C7 1
P62837 O95677 1
Q15126 Q8TEY5 0
Q15050 Q96QG7 0
Q5JUK2 P62805 0
Q92698 O75771 1
P10412 Q96A23 0
Q9GZT5 Q96G46 0
Q9GZZ9 Q7LBE3 0
Q9HAY2 Q8NEF9 0
Q13368 Q9Y4X5 0
P41247 Q6VVX0 0
Q9Y3B7 Q9BYN8 1
P15502 P46782 0
Q8IXM3 Q9NR21 0
O75820 Q7L8L6 0
P20142 Q8NFW5 0
P61599 Q15973 0
P47929 Q8N5C1 0
Q13185 P15311 0
Q96S96 Q9NVF9 0
A6NEE1 Q8N895 0
P0C0E4 Q6P9G4 0
Q00059 P61952 0
P17844 P62310 1
Q9H4Z3 P41218 0
Q9UPY6 P51178 0
Q86UU1 P02042 0
Q9BXU8 Q96S55 0
Q8N8N0 Q86U90 0
P50549 Q8N653 0
Q13133 Q9HCU9 0
P98171 Q9H0Q0 0
Q3KR37 Q8IYU2 0
P10588 Q16526 0
P47929 Q96NB3 0
Q9UQ26 Q96KE9 0
P55212 Q6ZTA4 0
Q03111 Q06587 1
Q96JP0 Q13823 0
Q6RW13 Q04323 0
