207L_l_u	207L_r_u	1
5NR5_r_u	207L_r_u	0
21BI_l_u	21BI_r_u	1
2V9H_r_u	21BI_r_u	0
221P_l_u	221P_r_u	1
2N7B_r_u	221P_l_u	0
242L_l_u	242L_r_u	1
2PKM_r_u	242L_l_u	0
2R0B_l_u	2R0B_r_u	1
6COM_l_u	2R0B_l_u	0
208L_l_u	208L_r_u	1
1XN5_r_u	208L_l_u	0
217L_l_u	217L_r_u	1
5O8O_l_u	217L_r_u	0
2R0J_l_u	2R0J_r_u	1
1IJZ_r_u	2R0J_r_u	0
2R0S_l_u	2R0S_r_u	1
3C4A_l_u	2R0S_r_u	0
2R18_l_u	2R18_r_u	1
1QB4_l_u	2R18_l_u	0
2R1C_l_u	2R1C_r_u	1
1VCX_l_u	2R1C_l_u	0
2R14_l_u	2R14_r_u	1
3PM2_l_u	2R14_l_u	0
2R0N_l_u	2R0N_r_u	1
1CTS_l_u	2R0N_r_u	0
2R0M_l_u	2R0M_r_u	1
2DT1_l_u	2R0M_r_u	0
2R1L_l_u	2R1L_r_u	1
4L8L_l_u	2R1L_l_u	0
2R1M_l_u	2R1M_r_u	1
1Q7H_l_u	2R1M_r_u	0
2R1P_l_u	2R1P_r_u	1
6I1B_r_u	2R1P_l_u	0
2R2W_l_u	2R2W_r_u	1
2DMQ_r_u	2R2W_l_u	0
2R24_l_u	2R24_r_u	1
2V13_l_u	2R24_l_u	0
2R1Q_l_u	2R1Q_r_u	1
2COP_r_u	2R1Q_l_u	0
2R2I_l_u	2R2I_r_u	1
2M1U_r_u	2R2I_r_u	0
2R2X_l_u	2R2X_r_u	1
1U27_l_u	2R2X_r_u	0
2R2Y_l_u	2R2Y_r_u	1
3BQG_l_u	2R2Y_l_u	0
2R30_l_u	2R30_r_u	1
1A3D_l_u	2R30_l_u	0
2R32_l_u	2R32_r_u	1
5HUG_r_u	2R32_l_u	0
2R39_l_u	2R39_r_u	1
5O2V_l_u	2R39_r_u	0
2R49_l_u	2R49_r_u	1
